Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S328071679,Red-necked Nightjar,Caprimulgus ruficollis,3628,X,ES-AN,Sevilla,L64076756,très clair à l'ouïe + merlin,37.2458687,-6.264142,2026-04-26,,eBird - Casual Observation,,0,,,1
S235435011,Common Swift,Apus apus,4094,X,BE-WAL,Namur,L44532228,excursion Belgique,50.090786,4.6816444,2025-05-10,,eBird - Casual Observation,,0,,,1
S322335184,Pallid Swift,Apus pallidus,4102,X,MA-11,,L62926001,Merlin Pablo et Gilles disent qu'il y a aussi le martinet unicolore,31.6247851,-7.9884851,2026-04-16,,eBird - Casual Observation,,0,,,1
S322327505,Little Swift,Apus affinis,4136,X,MA-11,,L62922666,Pablo et Gilles et pas Merlin,31.6248093,-7.9885898,2026-04-16,,eBird - Casual Observation,,0,,,1
S271632633,Water Rail,Rallus aquaticus,5308,X,BE-WAL,Hainaut,L52469401,marais d'Harchies we love bien entendu tous les 2,50.4628998,3.6928495,2025-09-05,,eBird - Casual Observation,,0,,,1
S221491862,Eurasian Moorhen,Gallinula chloropus,5462,X,BE-BRU,,L40455214,Fovel matin,50.8435669,4.341136,2025-03-29,,eBird - Casual Observation,,0,,,1
S216617617,Eurasian Coot,Fulica atra,5487,X,BE-BRU,,L40849713,étang Ixelles retour ULB,50.8190422,4.3748841,2025-03-04,,eBird - Casual Observation,,0,,,1
S267658548,Common Crane,Grus grus,5718,X,FR-GES,Marne,L51611942,avec Vince,48.5693817,4.704206,2025-08-16,,eBird - Casual Observation,,0,,,1
S327539312,Eurasian Thick-knee,Burhinus oedicnemus,5751,X,ES-AN,Sevilla,L63970004,bien entendu à côté du puit,37.3275852,-5.210304,2026-04-26,,eBird - Casual Observation,,0,,,1
S265992352,Black-winged Stilt,Himantopus himantopus,5763,X,FR-PAC,Bouches-du-Rhône,L51236257,a côté des flamant roses gueule,43.419693,5.1747942,2025-08-09,,eBird - Casual Observation,,0,,,1
S250266524,Pied Avocet,Recurvirostra avosetta,5777,X,NL-ZE,,L47598253,balade mer colocs,51.395977,3.561393,2025-06-14,,eBird - Casual Observation,,0,,,1
