X1 X2 X3 X4
null null null NA
"Bird sp." "Aves sp." "Oiseau sp." 
"ANSERIFORMES: Anatidae" "ANSERIFORMES: Anatidae" "ANSERIFORMES: Anatidae" NA
"dabbling duck sp." "Anatidae sp. (dabbling duck sp.)" "Anatidé sp. (Canard barboteur sp.)" 
"Diver sp." "Anatidae sp. (diving duck sp.)" "Canard plongeur sp." 
"Duck sp." "Anatidae sp. (duck sp.)" "Anatidé sp. (canard sp.)" 
"Waterfowl sp." "Anatidae sp. (waterfowl sp.)" "Sauvagine sp." 
"Wood Duck x Common Pintail (hybrid)" "Aix sponsa x Anas acuta" "Hybride Canard branchu x C. pilet" Rare/Accidentel
"Wood Duck x Hooded Merganser (hybrid)" "Aix sponsa x Lophodytes cucullatus" "Hybride Canard branchu x Harle couronné" "Espèce introduite"
"Common Teal x Ferruginous Duck (hybrid)" "Anas crecca x Aythya nyroca" "Hybride Sarcelle d'hiver x Fuligule nyroca" Rare/Accidentel
"Muscovy Duck x Mallard (Domestic type)" "Anas platyrhynchos [var. domesticus] x Cairina moschata" "Hybride Canard colvert x C. musqué (forme domestique)" Rare/Accidentel
"Mallard x Common Pochard (hybrid)" "Anas platyrhynchos x Aythya ferina" "Hybride Canard colvert x Fuligule milouin" Rare/Accidentel
"Mallard x Tufted Duck (hybrid)" "Anas platyrhynchos x Aythya fuligula" "Hybride Canard colvert x Fuligule morillon" Rare/Accidentel
"Mallard x Red-crested Pochard (hybrid)" "Anas platyrhynchos x Netta rufina" "Hybride Canard colvert x Nette rousse" Rare/Accidentel
"Mallard x Common Eider (hybrid)" "Anas platyrhynchos x Somateria mollissima" "Hybride Canard colvert x Eider à duvet" Rare/Accidentel
"Other Hybrid Duck" "Anatinae hybrid" "Hybride de canards" 
"Other Hybrid Goose" "Anserinae hybrid" "Hybride d'oies" 
"Dendrocygna sp." Dendrocygna "Dendrocygna sp." 
"Fulvous Whistling-Duck" "Dendrocygna bicolor" "Dendrocygne fauve" "Origine incertaine"
"Fulvous Whistling-Duck (syn. bicolor)" "Dendrocygna bicolor (bicolor)" "Dendrocygne fauve (syn. bicolor)" "Origine incertaine"
"White-faced Whistling-Duck" "Dendrocygna viduata" "Dendrocygne veuf" Rare/Accidentel
"White-faced x Spotted Whistling-Duck (hybrid)" "Dendrocygna [viduata x guttata]" "Hybride Dendrocygne tacheté x D. veuf" Rare/Accidentel
"Nomonyx sp." Nomonyx "Nomonyx sp." 
"Ruddy Duck" "Oxyura jamaicensis" "Érismature rousse" 
"Ruddy Duck [jamaicensis]" "Oxyura jamaicensis [jamaicensis]" "Érismature rousse" 
"Ruddy Duck [jamaicensis or rubida]" "Oxyura jamaicensis [jamaicensis or rubida]" "Érismature rousse" 
